(User 88803 , Product 22577 , Rating 0.0)
(User 88803 , Product 20520 , Rating 4.0)
(User 88803 , Product 91820 , Rating 1.0)
(User 88803 , Product 45584 , Rating 7.0)
(User 88803 , Product 98857 , Rating 6.0)
(User 88803 , Product 71480 , Rating 2.0)
(User 88803 , Product 91736 , Rating 2.0)
(User 88803 , Product 67716 , Rating 0.0)
(User 88803 , Product 2114 , Rating 8.0)
(User 88803 , Product 55213 , Rating 10.0)
(User 88803 , Product 63058 , Rating 8.0)
(User 88803 , Product 13634 , Rating 7.0)
(User 88803 , Product 75721 , Rating 0.0)
(User 88803 , Product 44833 , Rating 8.0)
(User 88803 , Product 56033 , Rating 0.0)
(User 88803 , Product 80884 , Rating 2.0)
(User 88803 , Product 18044 , Rating 9.0)
(User 88803 , Product 60734 , Rating 5.0)
(User 88803 , Product 20400 , Rating 0.0)
(User 88803 , Product 41232 , Rating 2.0)
(User 88803 , Product 33235 , Rating 3.0)
(User 88803 , Product 33572 , Rating 10.0)
(User 88803 , Product 32382 , Rating 1.0)
(User 88803 , Product 81635 , Rating 4.0)
(User 88803 , Product 11035 , Rating 5.0)
(User 88803 , Product 55882 , Rating 6.0)
(User 88803 , Product 48236 , Rating 5.0)
(User 88803 , Product 86102 , Rating 9.0)
(User 88803 , Product 16430 , Rating 4.0)
(User 88803 , Product 71342 , Rating 8.0)
(User 88803 , Product 16342 , Rating 3.0)
(User 88803 , Product 23736 , Rating 3.0)
(User 88803 , Product 23266 , Rating 9.0)
(User 88803 , Product 81328 , Rating 2.0)
(User 88803 , Product 22105 , Rating 1.0)
(User 88803 , Product 2811 , Rating 4.0)
(User 88803 , Product 60440 , Rating 1.0)
(User 88803 , Product 1785 , Rating 0.0)
(User 88803 , Product 60751 , Rating 1.0)
(User 88803 , Product 8242 , Rating 2.0)
(User 88803 , Product 57877 , Rating 8.0)
(User 88803 , Product 43232 , Rating 4.0)
(User 88803 , Product 80772 , Rating 0.0)
(User 88803 , Product 58577 , Rating 3.0)
(User 88803 , Product 27230 , Rating 1.0)
(User 88803 , Product 45000 , Rating 9.0)
(User 88803 , Product 24785 , Rating 2.0)
(User 88803 , Product 7343 , Rating 6.0)
(User 88803 , Product 75554 , Rating 0.0)
(User 88803 , Product 61358 , Rating 6.0)
(User 88803 , Product 55240 , Rating 1.0)
(User 88803 , Product 40702 , Rating 3.0)
(User 88803 , Product 41017 , Rating 0.0)
(User 88803 , Product 71562 , Rating 9.0)
(User 88803 , Product 88273 , Rating 1.0)
(User 88803 , Product 40001 , Rating 9.0)
(User 88803 , Product 73832 , Rating 7.0)
(User 88803 , Product 22413 , Rating 4.0)
(User 88803 , Product 91484 , Rating 5.0)
(User 88803 , Product 53140 , Rating 1.0)
(User 88803 , Product 42251 , Rating 3.0)
(User 88803 , Product 70240 , Rating 2.0)
(User 88803 , Product 16062 , Rating 2.0)
(User 88803 , Product 30571 , Rating 8.0)
(User 88803 , Product 14247 , Rating 8.0)
(User 88803 , Product 5871 , Rating 9.0)
(User 43726 , Product 22577 , Rating 1.0)
(User 43726 , Product 66545 , Rating 0.0)
(User 43726 , Product 22740 , Rating 0.0)
(User 43726 , Product 45584 , Rating 3.0)
(User 43726 , Product 40821 , Rating 10.0)
(User 43726 , Product 32183 , Rating 6.0)
(User 43726 , Product 67716 , Rating 2.0)
(User 43726 , Product 2114 , Rating 1.0)
(User 43726 , Product 1208 , Rating 0.0)
(User 43726 , Product 55213 , Rating 2.0)
(User 43726 , Product 70261 , Rating 6.0)
(User 43726 , Product 63058 , Rating 3.0)
(User 43726 , Product 123 , Rating 0.0)
(User 43726 , Product 13634 , Rating 8.0)
(User 43726 , Product 75721 , Rating 2.0)
(User 43726 , Product 44833 , Rating 10.0)
(User 43726 , Product 7230 , Rating 0.0)
(User 43726 , Product 18044 , Rating 9.0)
(User 43726 , Product 60734 , Rating 7.0)
(User 43726 , Product 20400 , Rating 4.0)
(User 43726 , Product 33572 , Rating 9.0)
(User 43726 , Product 32382 , Rating 0.0)
(User 43726 , Product 55546 , Rating 0.0)
(User 43726 , Product 52157 , Rating 1.0)
(User 43726 , Product 81635 , Rating 1.0)
(User 43726 , Product 48236 , Rating 8.0)
(User 43726 , Product 86102 , Rating 6.0)
(User 43726 , Product 16430 , Rating 1.0)
(User 43726 , Product 77374 , Rating 0.0)
(User 43726 , Product 71342 , Rating 5.0)
(User 43726 , Product 42484 , Rating 4.0)
(User 43726 , Product 5351 , Rating 1.0)
(User 43726 , Product 1855 , Rating 0.0)
(User 43726 , Product 84017 , Rating 4.0)
(User 43726 , Product 23736 , Rating 0.0)
(User 43726 , Product 98071 , Rating 2.0)
(User 43726 , Product 82153 , Rating 3.0)
(User 43726 , Product 81328 , Rating 3.0)
(User 43726 , Product 18413 , Rating 1.0)
(User 43726 , Product 22105 , Rating 5.0)
(User 43726 , Product 2811 , Rating 3.0)
(User 43726 , Product 60440 , Rating 3.0)
(User 43726 , Product 1785 , Rating 1.0)
(User 43726 , Product 60751 , Rating 3.0)
(User 43726 , Product 66611 , Rating 5.0)
(User 43726 , Product 73287 , Rating 3.0)
(User 43726 , Product 8242 , Rating 4.0)
(User 43726 , Product 57877 , Rating 3.0)
(User 43726 , Product 43232 , Rating 1.0)
(User 43726 , Product 80772 , Rating 9.0)
(User 43726 , Product 27230 , Rating 1.0)
